panel,statistic,count_or_value
overall,samples,1000
overall,matched_groups,350
overall,triples,300
overall,doublets,50
horizon,compact,300
horizon,standard,350
horizon,hard,350
pattern,implicit_drift,360
pattern,multi_version,280
pattern,narrowing,210
pattern,explicit_replacement,150
target_type,object_preference,467
target_type,procedural_constraint,350
target_type,conceptual_stance,110
target_type,interpersonal_boundary,73
target_type,non_object_share_pct,53.3
version_chain,2_way,584
version_chain,3_way,321
version_chain,4_way,95
domains,distinct,23
domains,largest_share_pct,15.2
