system,dimension_axis,n_overall,overall_vf,tech_workflow_vf,management_vf,learning_vf,work_communication_vf,food_vf,health_vf,lifestyle_vf,hobby_vf,creative_vf,relationships_vf,tech_workflow_n,management_n,learning_n,work_communication_n,food_n,health_n,lifestyle_n,hobby_n,creative_n,relationships_n
structured_sonnet,domain,1000,84.7,88.82,82.17,71.29,80.0,90.14,96.23,82.35,76.6,88.89,94.87,152,129,101,75,71,53,51,47,45,39
long_context_sonnet46,domain,1000,75.2,85.53,69.77,60.4,66.67,83.1,92.45,66.67,65.96,73.33,89.74,152,129,101,75,71,53,51,47,45,39
long_context_mistral,domain,1000,72.3,80.92,68.22,60.4,62.67,77.46,88.68,62.75,72.34,73.33,71.79,152,129,101,75,71,53,51,47,45,39
recency_wrapper,domain,1000,67.6,71.71,65.89,56.44,62.67,74.65,84.91,76.47,72.34,64.44,58.97,152,129,101,75,71,53,51,47,45,39
sonnet_extract,domain,1000,66.5,65.79,67.44,59.41,64.0,70.42,84.91,68.63,74.47,64.44,58.97,152,129,101,75,71,53,51,47,45,39
active_state_wrapper,domain,1000,66.0,65.79,67.44,57.43,62.67,71.83,81.13,78.43,72.34,62.22,51.28,152,129,101,75,71,53,51,47,45,39
recency_rag,domain,1000,51.7,49.34,48.84,42.57,49.33,45.07,75.47,49.02,59.57,40.0,71.79,152,129,101,75,71,53,51,47,45,39
long_context_llama8b,domain,1000,49.6,51.32,46.51,41.58,48.0,49.3,71.7,54.9,61.7,33.33,61.54,152,129,101,75,71,53,51,47,45,39
graphiti,domain,994,49.5,52.32,44.19,49.48,36.0,56.34,71.7,21.57,68.09,42.22,69.23,151,129,97,75,71,53,51,47,45,39
naive_rag,domain,1000,48.6,48.03,45.74,37.62,49.33,46.48,83.02,47.06,51.06,33.33,53.85,152,129,101,75,71,53,51,47,45,39
graphiti_inv_off,domain,994,47.08,52.32,45.74,50.52,34.67,53.52,69.81,15.69,65.96,37.78,64.1,151,129,97,75,71,53,51,47,45,39
