system,dimension_axis,n_overall,overall_vf,compact_vf,standard_vf,hard_vf,compact_n,standard_n,hard_n
structured_sonnet,horizon,1000,84.7,82.67,85.71,85.43,300,350,350
long_context_sonnet46,horizon,1000,75.2,73.33,74.86,77.14,300,350,350
long_context_mistral,horizon,1000,72.3,72.0,71.71,73.14,300,350,350
recency_wrapper,horizon,1000,67.6,71.67,69.43,62.29,300,350,350
sonnet_extract,horizon,1000,66.5,69.33,67.43,63.14,300,350,350
active_state_wrapper,horizon,1000,66.0,69.67,66.29,62.57,300,350,350
recency_rag,horizon,1000,51.7,59.67,48.29,48.29,300,350,350
long_context_llama8b,horizon,1000,49.6,60.0,50.29,40.0,300,350,350
graphiti,horizon,994,49.5,51.17,49.0,48.55,299,349,346
naive_rag,horizon,1000,48.6,51.33,48.57,46.29,300,350,350
graphiti_inv_off,horizon,994,47.08,46.15,48.14,46.82,299,349,346
