system,recall_overall,vf_overall,gap_overall,recall_drift,vf_drift,gap_drift,recall_nondrift,vf_nondrift,gap_nondrift,n_overall,n_drift,n_nondrift
structured_sonnet,85.55,84.7,0.85,90.69,59.44,31.25,82.66,98.91,-16.25,1000,360,640
long_context_sonnet46,87.83,75.2,12.62,93.61,35.28,58.33,84.57,97.66,-13.09,1000,360,640
long_context_mistral,86.31,72.3,14.01,88.33,33.33,55.0,85.17,94.22,-9.05,1000,360,640
recency_wrapper,77.08,67.6,9.47,78.61,48.61,30.0,76.21,78.28,-2.07,1000,360,640
sonnet_extract,76.72,66.5,10.22,77.92,45.83,32.08,76.04,78.12,-2.08,1000,360,640
active_state_wrapper,76.86,66.0,10.86,78.06,45.83,32.22,76.18,77.34,-1.16,1000,360,640
recency_rag,81.04,51.7,29.34,80.0,25.83,54.17,81.63,66.25,15.38,1000,360,640
long_context_llama8b,77.15,49.6,27.55,79.72,21.67,58.06,75.7,65.31,10.39,1000,360,640
graphiti,70.7,49.5,21.2,74.16,36.31,37.85,68.75,56.92,11.83,994,358,636
naive_rag,82.47,48.6,33.87,81.67,20.56,61.11,82.93,64.38,18.55,1000,360,640
graphiti_inv_off,73.37,47.08,26.29,75.14,32.68,42.46,72.38,55.19,17.19,994,358,636
